race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,AvgPitDurationMS,Avg_stop,positionOrder,lap_limit,diff_lap
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,piastri,40668.6334769254,1.54811417748918,2,44,7.66359447004608
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,lawson,102462.104565024,1.28073089700997,16,71,5
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,bearman,133795.290216239,1.56375,10,51,5.06428571428571
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,lawson,23268.7631578947,1.31578947368421,16,50,2.85
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,lawson,22577.5477861488,1.34387444992284,17,55,2.46818181818182
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,bearman,114204.358670773,1.89672660672661,12,71,3.921875
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,lawson,114204.358670773,1.89672660672661,9,71,3.921875
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,lawson,24953.6483460202,1.36289908008658,9,56,6.605
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,leclerc,24077.8333333333,1.16666666666667,1,53,5.5
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,bottas,32744.5,1.5,18,50,0
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,hulkenberg,29838.5,1.5,6,52,0.111111111111111
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,zhou,25673.5,1.5,19,56,0.5
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,norris,24453.875,1.5,4,56,0
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,leclerc,22457,1.66666666666667,3,72,10.6666666666667
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,albon,25310.6666666667,1.66666666666667,16,56,0
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,alonso,178431.791666667,1.58333333333333,6,51,1.5
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,stroll,27485.3330078125,1.5,18,57,0
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,hulkenberg,122572.25,1.16666666666667,9,71,8.33333333333333
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,piastri,29370.5,1.5,5,52,0
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,leclerc,28960,2,11,52,4.85714285714286
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,hamilton,23777.5,1.5,2,50,0
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,hamilton,55412.067578125,1.5,1,44,5
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,ricciardo,67616.9090909091,1.31818181818182,10,44,7.72727272727273
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,norris,30136.6666666667,1,1,61,0.333333333333333
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,tsunoda,31293,1,12,61,27
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,albon,28993.666015625,2,15,57,0
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,ocon,27275,1.5,20,57,0
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,bottas,25359.25,1.35,17,56,9.2
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,tsunoda,29829,1.5,13,52,0
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,ocon,119027.03125,1.3,19,69,11
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,sainz,26313.5714285714,1.35714285714286,2,56,7
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,gasly,341522.330357143,1.35714285714286,19,52,4.57142857142857
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,hulkenberg,501464.1875,3,11,72,0
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,stroll,25142.1110026042,1.5,15,56,6.66666666666667
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,gasly,22262,1,20,50,0
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,perez,29709.0408380682,1.63636363636364,10,61,2.77777777777778
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,hulkenberg,23803.5,1.5,8,50,5
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,ocon,132567.5,1.07142857142857,14,53,2.28571428571429
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,gasly,185864.546875,1.5,12,51,2.6
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,piastri,21902,1.5,7,50,0
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,perez,22213.2638346354,1.45833333333333,20,55,3.81818181818182
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,zhou,22624,1,14,51,21.5
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,ocon,154351.28125,2.16666666666667,15,72,0.333333333333333
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,ocon,26392.666796875,1.4,18,56,11.3333333333333
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,piastri,21600.5,1.5,2,69,-1
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,sainz,76105.6840277778,1.5,4,69,0.666666666666667
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,russell,21604.5,1.5,1,50,0
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,hamilton,179675,2.33333333333333,8,72,0
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,russell,172020.75,1.25,5,71,1
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,hamilton,25308,1.5,12,57,0
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,russell,33186.0833333333,1.66666666666667,4,61,10.3333333333333
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,russell,117983.03125,1.6,17,69,-0.4
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,russell,23077.75,1.25,5,55,5
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,ocon,36318,2.33333333333333,13,61,14.75
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,albon,223703.166666667,1.33333333333333,19,71,0.333333333333333
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,perez,28412.9169921875,1.75,17,57,0
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,kevin_magnussen,23518.0951450893,1.5,14,44,5.125
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,stroll,22467.4285714286,1.42857142857143,14,55,0.571428571428571
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,kevin_magnussen,21739.5,1.5,12,50,0
