race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,driver_age,driver_nation,Avg_lap_time,AvgPitDurationMS,positionOrder,tot_laps,cons_name,cons_nation,Avg_stop,Accident
2015-09-20,9,3,2015,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,hamilton,30,British,124020.3,28917,18,32,Mercedes,German,1,0
2015-10-11,10,4,2015,11:00:00,Sochi Autodrom,Sochi,Russia,rosberg,30,German,127623.3,0,18,7,Mercedes,German,,0
2023-10-22,10,4,2023,19:00:00,Circuit of the Americas,Austin,USA,piastri,22,Australian,105956.4,0,17,10,McLaren,British,,0
2020-10-11,10,4,2020,13:10:00,Nürburgring,Nürburg,Germany,albon,24,Thai,95936.3,23562,17,23,Red Bull,Austrian,1,0
2015-05-10,5,2,2015,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,alonso,33,Spanish,95999.54,23728,20,26,McLaren,British,1,0
2018-09-30,9,3,2018,11:10:00,Sochi Autodrom,Sochi,Russia,gasly,22,French,115279,0,19,4,Toro Rosso,Italian,,0
2017-07-30,7,3,2017,12:00:00,Hungaroring,Budapest,Hungary,hulkenberg,29,German,87563.98,31860,17,67,Renault,French,1,0
2015-05-24,5,2,2015,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,maldonado,30,Venezuelan,85211.8,0,20,5,Lotus F1,British,,0
2016-07-03,7,3,2016,12:00:00,Red Bull Ring,Spielberg,Austria,perez,26,Mexican,74807.52,19452.25,17,69,Force India,Indian,2.5,0
2021-12-12,12,4,2021,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,raikkonen,42,Finnish,94544.44,22338,19,25,Alfa Romeo,Swiss,1,0
2018-08-26,8,3,2018,13:10:00,Circuit de Spa-Francorchamps,Spa,Belgium,raikkonen,38,Finnish,149157.9,30909,17,8,Ferrari,Italian,1.5,0
2019-09-29,9,3,2019,11:10:00,Sochi Autodrom,Sochi,Russia,russell,21,British,108814.9,29857,17,27,Williams,British,1,0
